1-unif,1-expo,1-lor,2-unif,2-expo,2-lor,10-unif,10-expo,10-lor,100-unif,100-expo,100-lor
0.279233,0.327439,-0.831339,0.148267,0.172446,-9.60543,0.529471,1.04294,0.530559,0.515524,1.03758,-0.801345
0.545858,0.789345,0.145072,0.564518,0.832221,0.20625,0.473509,0.92655,-2.75095,0.565076,1.15146,0.714104
0.0173017,0.0174531,-18.3795,0.0409723,0.04214,-11.6179,0.553982,1.01433,-1.21958,0.492221,1.01959,1.75296
0.583179,0.875098,0.267429,0.668916,1.14009,0.648552,0.415883,0.775591,-2.93278,0.473306,0.879689,-0.971956
0.0646429,0.0668269,-4.85625,0.1489,0.16615,-2.98405,0.413515,0.896436,0.997312,0.490062,0.987902,-0.343228
0.754654,1.40508,1.02968,0.473973,0.80994,-0.204762,0.447804,0.85266,-5.5176,0.498889,0.995623,0.210824
0.233157,0.265473,-1.11185,0.363192,0.472582,-0.566568,0.55937,1.05123,0.684218,0.507185,0.973849,-4.87083
0.193293,0.214795,-1.4392,0.47467,0.812788,-0.200231,0.453724,1.05603,-1.66468,0.524885,1.04854,0.0736011
0.493226,0.679691,-0.0212834,0.486182,0.66598,-0.0434588,0.505811,1.15353,1.82316,0.444242,0.873176,1.33532
0.756047,1.41078,1.03874,0.625154,1.04626,0.510351,0.401977,0.957148,4.8911,0.484948,0.951567,1.03955
0.479138,0.65227,-0.0656342,0.368516,0.475266,-0.508614,0.560338,1.09885,0.642032,0.497341,1.0598,5.42234
0.49426,0.681732,-0.0180357,0.366764,0.477603,-0.543923,0.481286,0.945333,-2.72454,0.514598,1.05037,-0.604475
0.257893,0.298263,-0.951594,0.364845,0.468268,-0.520215,0.622711,1.13452,0.693248,0.514131,1.14244,3.67078
0.239268,0.273474,-1.06981,0.412093,0.576375,-0.398261,0.452081,0.978408,-2.38489,0.457632,0.904617,-1.60659
0.471797,0.638274,-0.0888362,0.544303,0.798748,0.147771,0.441214,0.931553,1.42863,0.504867,1.02036,-0.301548
0.584917,0.879277,0.273289,0.582693,0.873946,0.265807,0.448343,0.854881,-5.51405,0.491637,0.995666,-0.0105946
0.616809,0.959223,0.384379,0.350382,0.523456,-1.65939,0.539996,1.02871,-0.0080338,0.556588,1.18111,0.979677
0.580468,0.868616,0.258325,0.369864,0.521044,-0.78537,0.495676,1.12944,-1.48375,0.517408,1.04231,-1.24503
0.0839539,0.0876886,-3.70316,0.50791,1.38698,0.448529,0.477802,1.10953,1.69895,0.533633,1.15636,3.69532
0.159259,0.173472,-1.82907,0.456655,0.788053,-0.401639,0.376001,0.884644,4.78606,0.503598,0.915987,-0.299668
0.931865,2.68627,4.60022,0.716862,1.69157,2.30303,0.596274,1.21595,0.828484,0.537109,1.15194,3.17728
0.754052,1.40263,1.02579,0.389168,0.713609,-6.02829,0.531091,1.36396,1.41639,0.461043,0.908942,-1.74368
0.501858,0.69687,0.00583648,0.593932,0.927625,0.333623,0.602579,1.11052,0.231654,0.484568,1.00708,-2.29967
0.024284,0.0245837,-13.0824,0.196817,0.242795,-6.75877,0.435936,0.959162,-2.67877,0.505583,1.00282,-1.49564
0.686006,1.15838,0.66141,0.66898,1.1069,0.589347,0.402726,0.876818,1.08041,0.495153,1.07393,-7.09176
0.369351,0.461005,-0.435163,0.291601,0.350808,-0.846319,0.482393,1.02654,-5.12241,0.483049,1.02188,-0.163852
0.651955,1.05542,0.517285,0.665167,1.0949,0.572394,0.55762,1.09032,0.0850368,0.567698,1.24036,16.8167
0.213852,0.24061,-1.25747,0.156033,0.171994,-2.19747,0.448518,1.0541,-1.79041,0.525964,1.04454,-0.432286
0.67838,1.13438,0.627503,0.39967,0.631655,-0.938063,0.504039,1.14328,2.01686,0.55532,1.16763,-5.14565
0.0982145,0.103379,-3.13746,0.389176,0.62162,-1.25112,0.44188,1.0377,5.12443,0.564748,1.14221,-14.3094
0.12096,0.128925,-2.50363,0.349114,0.494972,-1.128,0.547242,1.00558,0.349888,0.467315,0.901103,0.630037
0.680137,1.13986,0.635223,0.760071,1.48624,1.22714,0.549349,1.49958,1.80949,0.453854,0.891639,-2.83696
0.577269,0.86102,0.247631,0.315015,0.457612,-2.86504,0.644008,1.2887,0.601859,0.520814,1.00168,-0.0983411
0.840005,1.83261,1.81906,0.646756,1.21842,0.835975,0.438423,0.961744,-2.01289,0.482592,0.904579,-1.7754
0.0527608,0.0542036,-5.97772,0.409262,0.752815,-2.43671,0.341917,0.769092,0.613955,0.475825,0.915267,-0.253215
0.453507,0.604235,-0.147108,0.711887,2.05987,5.26367,0.472412,1.01185,-5.16731,0.5025,0.996922,-7.85962
0.765764,1.45143,1.1043,0.495937,0.853876,-0.0291592,0.582663,1.21744,0.349079,0.480619,0.91104,0.352122
0.970267,3.5155,10.6744,0.982439,4.36939,34.8646,0.49482,1.14301,-1.60257,0.549683,1.06796,1.77352
0.22611,0.256325,-1.16262,0.572483,1.38392,1.33739,0.518629,1.20373,2.11647,0.48777,0.998985,0.403256
0.99461,5.22329,59.0548,0.967243,4.01731,32.1429,0.496672,1.13125,5.4876,0.476763,0.965753,0.559008
0.918855,2.51152,3.8374,0.86607,2.09485,2.67102,0.553889,1.01344,0.450521,0.547679,1.17748,2.29961
0.939875,2.81134,5.23106,0.478909,1.41472,-6.2454,0.507212,1.41553,1.65132,0.49891,1.00594,-1.3716
0.813285,1.67817,1.50463,0.473545,0.910909,-0.366251,0.592289,1.20879,0.0536379,0.547924,1.09296,0.414071
0.0179424,0.0181053,-17.7219,0.035711,0.036534,-11.8089,0.367607,0.792621,-2.42227,0.508434,0.955781,-2.28051
0.133804,0.143644,-2.23713,0.423613,0.696696,-0.722042,0.337937,0.764976,-1.24299,0.55238,1.13769,1.60308
0.0534795,0.0549627,-5.89589,0.0826282,0.0867475,-4.31279,0.464884,0.998944,-5.19284,0.516526,1.00252,0.404444
0.713423,1.24975,0.793048,0.849449,2.74082,11.3464,0.521237,1.08873,0.0446719,0.532124,1.03079,0.489809
0.111777,0.118532,-2.7297,0.255399,0.313864,-1.52901,0.495554,1.17134,-1.25129,0.486243,0.888278,-2.24661
0.985475,4.2319,21.8997,0.629113,2.27519,10.5167,0.578415,1.3518,2.39473,0.460195,0.851491,-2.6183
0.399022,0.509197,-0.328321,0.325193,0.39935,-0.65989,0.473615,0.753327,-0.308637,0.474003,0.901867,-0.399331
0.272751,0.318487,-0.866372,0.405451,0.545501,-0.372971,0.561449,1.2817,5.80227,0.458658,0.97725,1.08467
0.251365,0.289504,-0.991459,0.266779,0.310529,-0.903597,0.502401,1.35675,1.41091,0.522312,1.1025,1.69095
0.53815,0.772516,0.12043,0.50984,0.714694,0.0311689,0.555582,1.10007,-0.113886,0.447294,0.845386,-12.71
0.282193,0.331554,-0.815735,0.144039,0.168728,-27.4479,0.437971,0.918674,-0.566514,0.474816,0.863213,-0.756189
0.48153,0.656872,-0.0580919,0.348124,0.449292,-0.654281,0.384398,0.841843,-0.987341,0.470043,0.911856,-0.322351
0.00588523,0.00590262,-54.08,0.0118721,0.0119615,-35.9424,0.484381,1.02201,-4.70423,0.516802,1.03979,-15.3389
0.214718,0.241713,-1.25047,0.164487,0.18152,-1.95786,0.525726,1.10576,0.0707291,0.502194,0.957096,-0.779549
0.0178591,0.0180205,-17.8047,0.283191,0.406625,-8.82555,0.529314,1.21915,-0.99436,0.541669,1.16518,0.888199
0.114256,0.121327,-2.66526,0.186642,0.21056,-1.80504,0.529448,0.997093,0.203439,0.494385,0.959064,-2.14044
0.548522,0.795229,0.153629,0.344499,0.473303,-0.981623,0.522462,0.920877,-0.00477442,0.499549,0.930985,-4.81564
0.259028,0.299792,-0.944826,0.580645,1.31263,1.10446,0.570074,1.29432,5.84147,0.460268,0.84407,-51.4946
0.140477,0.151377,-2.11688,0.138185,0.148718,-2.15759,0.492079,1.34384,1.31092,0.517231,1.11183,0.931288
0.902262,2.32546,3.15375,0.570929,1.29968,1.04307,0.581135,1.18066,0.00612053,0.523179,1.07837,0.540849
0.135893,0.146058,-2.1983,0.483798,0.964041,-0.243278,0.437936,0.918626,-0.566694,0.50221,0.967475,0.0828086
0.239596,0.273905,-1.0676,0.494183,0.827647,-0.0376501,0.417149,0.941729,-0.835329,0.47285,0.935348,-1.29686
0.831703,1.78202,1.71174,0.735408,1.40061,1.08945,0.540297,1.10467,0.724495,0.525439,1.01839,-5.48206
0.74877,1.38139,0.992303,0.474994,0.803028,-0.186529,0.574085,1.20142,0.267621,0.465449,0.832671,-0.244581
0.639112,1.01919,0.467162,0.399105,0.596234,-0.682053,0.587693,1.3094,0.819181,0.536399,1.05574,0.936373
0.201218,0.224668,-1.36536,0.438075,0.674194,-0.376428,0.592272,1.12063,0.565356,0.531237,1.0783,0.96744
0.159098,0.17328,-1.83127,0.111657,0.119826,-3.36031,0.532255,0.945329,0.0294209,0.507066,1.03153,-1.53022
0.674932,1.12372,0.612506,0.537422,0.817199,0.14364,0.544177,1.26435,-483.14,0.509872,0.937293,-0.0432188
0.0642171,0.0663717,-4.88935,0.195538,0.231086,-2.74707,0.543683,1.43556,1.57617,0.4806,0.948888,-0.0521239
0.399912,0.510678,-0.325226,0.693186,2.40638,11.5844,0.520546,0.983262,-0.383669,0.512284,1.00104,1.24138
0.326858,0.395799,-0.604799,0.335044,0.40811,-0.570708,0.490241,1.01159,-0.292322,0.517665,1.09398,-38.6745
0.98646,4.30208,23.494,0.711673,2.43818,11.6466,0.455619,1.01223,-0.687408,0.486659,0.934346,-1.04326
0.343229,0.42042,-0.536617,0.185963,0.224768,-5.7995,0.520228,1.02617,0.596974,0.508313,1.03045,0.0974785
0.436887,0.574275,-0.200915,0.641327,1.22178,0.849403,0.51025,1.07499,-0.108233,0.456676,0.834561,-0.00609877
0.0286961,0.0291159,-11.0624,0.27758,0.388321,-5.48952,0.6049,1.37417,0.920787,0.482032,0.908039,-2.13933
0.845767,1.86929,1.89972,0.710895,1.36368,1.0716,0.612954,1.15059,0.672168,0.465272,0.851952,-1.26494
0.526464,0.747527,0.0833308,0.690084,1.33483,1.05187,0.610824,1.21765,0.783241,0.457596,0.800206,-2.36516
0.576023,0.858075,0.243479,0.638845,1.03381,0.489028,0.548106,1.27723,-483.122,0.539778,1.1235,1.0959
0.853705,1.92213,2.0204,0.850881,1.90319,1.97688,0.623988,1.63086,2.29085,0.549497,1.19845,1.72918
0.701668,1.20955,0.734577,0.490806,0.768987,-0.0464942,0.568998,1.14799,-0.0879122,0.524688,1.14361,-0.0900423
0.848058,1.88426,1.93336,0.892297,2.32078,3.4412,0.476491,0.993002,-0.379633,0.512342,1.00883,-0.37821
0.279945,0.328427,-0.827565,0.615862,1.6802,2.86152,0.453916,0.930813,-1.99862,0.501055,1.02694,2.04204
0.936537,2.7573,4.94903,0.930875,2.6752,4.56331,0.511132,1.0132,0.552054,0.530082,1.17574,0.0610777
0.95178,3.03198,6.5506,0.916852,2.5842,4.5608,0.499749,1.05789,-0.146488,0.518218,0.996368,0.0647094
0.925213,2.59311,4.1776,0.607816,1.46809,1.70201,0.687819,1.56638,2.23593,0.491561,0.882461,-0.337012
0.881923,2.13642,2.57099,0.831924,1.82967,1.89739,0.608206,1.12376,0.618295,0.460288,0.909541,1.01405
0.29042,0.343082,-0.773569,0.150782,0.177144,-14.6625,0.653211,1.44315,1.41065,0.462792,0.836104,-1.31661
0.781925,1.52291,1.22378,0.806075,1.6481,1.45872,0.552318,1.28769,-483.107,0.479479,1.04726,0.503142
0.0111441,0.0112067,-28.5513,0.436147,0.992786,-13.2031,0.553587,1.45487,1.89209,0.456454,0.902691,-0.487186
0.830226,1.77329,1.69365,0.784419,1.55752,1.31227,0.552702,1.10441,-0.149151,0.512513,1.00938,0.425913
0.861151,1.97437,2.1452,0.502962,1.06538,0.0501384,0.420586,0.838687,-0.651035,0.47304,0.931958,-0.262549
0.738611,1.34175,0.930884,0.499522,0.821718,-0.00280946,0.479937,0.975656,-1.90318,0.520832,1.08074,3.81745
0.144774,0.15639,-2.04493,0.500738,1.04961,0.0121302,0.455034,0.784557,0.0159341,0.426983,0.726541,-1.16653
0.260434,0.301691,-0.936503,0.404117,0.547662,-0.392597,0.47086,0.863423,-0.745384,0.480201,0.902983,-12.812
0.856702,1.94283,2.06919,0.472407,1.01753,-0.725318,0.611776,1.32507,1.64258,0.553837,1.17735,3.3793
0.547801,0.793632,0.151309,0.567852,0.840065,0.217354,0.538294,0.930305,0.20664,0.50759,1.04488,0.522817
0.0881118,0.0922379,-3.51982,0.35587,0.534707,-1.55533,0.625026,1.4097,-2.22411,0.489348,0.955219,0.47715
0.587904,0.886498,0.283398,0.646245,1.05294,0.516097,0.516723,1.19091,-483.253,0.51847,1.04284,-0.790669
0.623628,0.977176,0.409171,0.784392,1.94022,3.07779,0.556112,1.45745,3.87636,0.561388,1.14551,0.696564
0.704587,1.21938,0.748795,0.523111,0.818689,0.102857,0.490553,0.95049,-0.448494,0.493873,1.02143,1.92127
0.945156,2.90327,5.74641,0.8526,2.16529,3.4058,0.337732,0.644565,-1.83829,0.471503,0.876094,-0.977779
0.341636,0.417997,-0.543081,0.190526,0.229105,-4.28872,0.438712,0.880988,-2.05696,0.490976,0.98893,-0.3134
0.760044,1.4273,1.06519,0.686427,1.18807,0.717607,0.461153,0.79198,0.0880701,0.495102,0.986288,0.19642
0.0394158,0.0402137,-8.03437,0.126274,0.139954,-4.64885,0.496081,0.90513,-0.64776,0.50879,0.976197,-4.86319
0.61281,0.948839,0.370025,0.554548,0.817293,0.179179,0.573044,1.19416,1.42601,0.532527,1.07797,0.162411
0.213132,0.239694,-1.26333,0.525817,1.03148,0.267776,0.535544,0.924403,0.197897,0.440905,0.868116,1.31728
0.496286,0.685747,-0.0116683,0.744299,2.77687,20.6898,0.676543,1.49293,-1.8385,0.478645,0.938803,1.00519
0.838501,1.82326,1.79888,0.447535,0.940746,-1.88433,0.463222,1.10769,-483.878,0.500539,1.06931,5.43665
0.992311,4.868,41.3913,0.535065,2.4745,18.6913,0.550622,1.44384,3.85738,0.51901,1.07095,-0.555683
0.0565693,0.0582323,-5.56754,0.0717396,0.0745766,-4.5693,0.51047,1.06264,-0.20277,0.519595,1.15577,3.69446
0.0778181,0.0810128,-4.00862,0.501619,1.33845,0.0905216,0.24666,0.357743,-3.33357,0.46504,0.941041,-1.43634
0.08691,0.0909209,-3.57105,0.439984,0.833118,-1.12798,0.433804,0.873797,-2.07894,0.503052,1.0174,-0.3084
0.92542,2.59589,4.18966,0.517156,1.35559,0.690696,0.444568,0.73944,0.0120404,0.49211,0.996875,-0.00891855
0.793058,1.57532,1.31508,0.569696,1.00024,0.395483,0.514804,0.926811,0.0398166,0.557492,1.1838,0.983453
0.108891,0.115288,-2.80827,0.463472,0.909664,-0.626812,0.528783,1.11793,1.22016,0.516364,1.04008,-1.24837
0.346334,0.425158,-0.52412,0.393938,0.503866,-0.354933,0.521799,0.908302,-0.0884557,0.533472,1.15618,3.68617
0.818053,1.70404,1.55464,0.877343,2.23142,3.25568,0.638703,1.4369,-2.09488,0.505693,0.918854,-0.285748
0.441541,0.582574,-0.185747,0.678845,1.53064,1.76107,0.381053,0.927063,-485.95,0.537434,1.15845,3.22042
0.936633,2.75881,4.95672,0.492896,1.40461,-0.733451,0.493207,1.01119,-0.308042,0.457331,0.899742,-1.7578
0.916148,2.4787,3.70788,0.497035,1.27991,-0.147611,0.517731,1.07065,0.121252,0.483485,1.00511,-2.3032
0.0491585,0.0504079,-6.42362,0.159352,0.182248,-3.65389,0.305135,0.45828,-2.87668,0.511076,1.0111,-1.36246
0.077921,0.0811244,-4.00311,0.490149,1.20388,-0.422701,0.459658,0.907086,-1.7746,0.493799,1.07035,-7.09677
0.269545,0.314088,-0.88416,0.473211,0.721903,-0.131612,0.372149,0.502319,-0.543451,0.480814,1.01884,-0.179778
0.902376,2.32664,3.1577,0.863328,2.03275,2.39065,0.441832,0.775822,-0.587671,0.564378,1.23366,16.8052
0.676876,1.12972,0.620936,0.661504,1.08427,0.557624,0.520149,1.10868,0.0914576,0.527917,1.04739,-0.422647
0.82428,1.73886,1.6236,0.505856,0.97321,0.0631493,0.542689,0.946808,-0.0185132,0.554442,1.16522,-5.149
0.646132,1.03883,0.494313,0.452446,0.669132,-0.226052,0.604565,1.33125,-2.25769,0.569727,1.15024,-14.2749
0.187432,0.207556,-1.4973,0.123759,0.134761,-3.36594,0.412043,1.00801,-485.83,0.47156,0.907698,0.656511
0.258761,0.299432,-0.946416,0.195299,0.220404,-1.61058,0.399816,0.735587,-12.494,0.453305,0.890055,-2.83916
0.0600852,0.061966,-5.23457,0.0365226,0.0375054,-14.8909,0.465155,0.872272,-0.285403,0.523208,1.01003,-0.0854242
0.131838,0.141377,-2.27474,0.25503,0.308275,-1.33857,0.397013,0.797237,-1.24499,0.480045,0.895054,-1.79084
0.0129601,0.0130448,-24.5472,0.0822362,0.0886723,-13.2435,0.498297,0.961393,-1.38555,0.482734,0.928338,-0.183829
0.378223,0.475173,-0.402402,0.677912,2.13695,6.89243,0.365497,0.493603,-0.58996,0.500187,0.993392,-7.87006
0.151512,0.1643,-1.93977,0.487739,0.950687,-0.159882,0.433607,0.71471,-0.745725,0.473211,0.896779,0.214107
0.977601,3.79873,14.1873,0.870821,2.62141,7.63981,0.493128,1.04791,-0.000828277,0.549044,1.05648,1.69976
0.823965,1.73707,1.62001,0.909208,3.46558,29.4875,0.553724,1.04569,0.299187,0.494384,1.01827,0.442
0.764042,1.4441,1.09236,0.827908,1.83382,1.95966,0.5525,1.24078,-2.5475,0.46902,0.916009,-0.0436034
0.994451,5.19409,57.3549,0.720331,2.89253,28.5922,0.48734,1.26927,-485.153,0.545215,1.16352,2.26725
0.891774,2.22354,2.82695,0.806679,1.75109,1.83132,0.466451,0.96482,-11.9822,0.495057,0.985913,-1.42218
0.446211,0.590971,-0.170611,0.522309,0.751644,0.0743931,0.519811,0.959379,0.27287,0.549705,1.12371,0.76805
0.721584,1.27864,0.835689,0.485016,0.782127,-0.0870532,0.463431,0.942071,-0.883441,0.508488,0.955836,-2.23949
0.598408,0.912317,0.319398,0.678358,1.16621,0.686509,0.525878,0.994166,0.990983,0.557787,1.14748,1.63156
0.248449,0.285616,-1.0098,0.348912,0.441159,-0.585095,0.417482,0.67444,-0.248161,0.522642,1.0129,0.469108
0.758309,1.4201,1.05362,0.627059,1.05245,0.520227,0.450133,0.736373,-0.616641,0.529622,1.02452,0.480718
0.449376,0.596703,-0.160394,0.668432,1.3907,1.27496,0.444629,0.735888,-1.42187,0.486916,0.889066,-2.23518
0.495809,0.684801,-0.013166,0.427405,0.564763,-0.243786,0.545049,1.00562,0.229462,0.459263,0.831454,-2.80888
0.887488,2.1847,2.71031,0.517812,1.17251,0.359482,0.503741,1.12873,-2.74136,0.471422,0.898293,-0.417143
0.359,0.444726,-0.474407,0.576344,1.01154,0.423045,0.421854,0.791349,-490.943,0.465486,1.0052,1.16451
0.148137,0.160329,-1.99134,0.214993,0.245703,-1.40444,0.426941,0.811117,-12.266,0.528673,1.12145,1.72796
0.793687,1.57836,1.3205,0.801368,1.61705,1.39126,0.551406,1.0439,0.39788,0.444791,0.841054,-12.7191
0.28185,0.331077,-0.817528,0.423447,0.581792,-0.305149,0.443015,0.88707,-0.961529,0.478069,0.86925,-0.74452
0.809048,1.65573,1.46203,0.753677,1.42704,1.09024,0.522357,0.985761,0.979162,0.472011,0.916629,-0.315498
0.565043,0.832507,0.20723,0.583349,0.876472,0.268953,0.41175,0.66709,-0.293217,0.52146,1.04611,-14.799
0.698306,1.19834,0.718445,0.7204,1.27753,0.836177,0.441026,0.704398,-0.664026,0.500215,0.954849,-0.956299
0.601655,0.920436,0.330677,0.624056,0.980093,0.413129,0.430176,0.71258,-1.47619,0.547741,1.17481,1.07039
0.742493,1.35671,0.953908,0.371279,0.678386,-2444.9,0.508324,0.950905,-0.0032232,0.502877,0.99094,-2.02709
0.646457,1.03975,0.495582,0.651487,1.05418,0.515587,0.484687,1.02964,-2.94119,0.501584,0.936977,-4.80705
6.50839e-05,6.5086e-05,-4890.76,0.148214,0.175779,-2445.75,0.434958,0.814218,-490.899,0.459644,0.843262,-51.4993
0.656518,1.06862,0.535592,0.657729,1.07216,0.540508,0.466165,0.872821,-12.0541,0.521378,1.11841,0.954204
0.296364,0.351494,-0.744143,0.460327,0.665217,-0.166269,0.515513,0.943113,0.245043,0.516294,1.05752,0.496725
0.65894,1.0757,0.545425,0.644978,1.03635,0.490979,0.48102,0.962403,-0.824022,0.504572,0.970669,0.100544
0.624291,0.978939,0.411605,0.367354,0.547971,-1.17731,0.492171,0.890951,0.835218,0.473092,0.935671,-1.29536
0.631016,0.997003,0.436534,0.721096,1.33197,0.959877,0.426825,0.709644,-0.233415,0.524939,1.01579,-5.48696
0.110417,0.117002,-2.76623,0.259225,0.320654,-1.53174,0.410024,0.633712,-0.772484,0.467047,0.842776,-0.220662
0.811177,1.66694,1.48322,0.877981,2.28173,3.59507,0.38088,0.632043,-1.79062,0.535994,1.05467,0.934902
0.408033,0.524305,-0.297239,0.561125,0.888414,0.249941,0.43559,0.816761,-2.19748,0.538457,1.10173,1.02175
0.944785,2.89651,5.70693,0.906025,2.45796,3.9822,0.45583,0.969962,-3.03862,0.51094,1.03771,-1.51043
0.714217,1.25252,0.79712,0.799327,1.70523,1.71473,0.457682,0.839999,-1.9381,0.504747,0.927828,-0.0672161
0.867266,2.01941,2.25747,0.528309,1.11467,0.389779,0.445066,0.824931,-12.1249,0.489087,0.972634,0.0324099
0.884437,2.15794,2.63234,0.926936,2.82291,6.50714,0.522403,0.953418,0.274405,0.50866,0.996316,1.16019
0.189353,0.209922,-1.47791,0.220813,0.25032,-1.23186,0.450503,0.898494,-0.928033,0.515438,1.09112,-38.6979
0.969434,3.48788,10.3819,0.650656,1.94558,4.89923,0.470516,0.845437,0.764231,0.481016,0.896811,-1.2807
0.252274,0.290718,-0.985815,0.555083,1.12094,0.551631,0.373036,0.619719,-0.609038,0.507454,1.02922,0.0932913
0.331877,0.403283,-0.583467,0.565086,1.00211,0.38876,0.492692,0.898637,0.00361621,0.456333,0.833969,-0.0072495
0.857892,1.95117,2.08908,0.904115,2.47684,4.22325,0.365813,0.573379,-1.88376,0.487436,0.916168,-2.0265
0.798294,1.60095,1.36099,0.708219,1.28183,0.875092,0.472248,0.913326,-2.05095,0.463337,0.843823,-1.27875
0.950338,3.00251,6.35742,0.550019,1.58234,2.19512,0.427349,0.788186,-3.55435,0.45708,0.799172,-2.36678
0.618143,0.96271,0.389196,0.578423,0.868212,0.255694,0.39778,0.726986,-2.28196,0.537958,1.11992,1.09001
0.149701,0.162167,-1.96718,0.219357,0.251634,-1.37392,0.378347,0.645315,-12.4882,0.543867,1.18266,1.70125
0.538703,0.773713,0.122192,0.539428,0.775288,0.124506,0.494031,0.829434,0.0439137,0.518513,1.13239,-0.134307
0.289012,0.3411,-0.780662,0.332283,0.405995,-0.596418,0.47045,0.926739,-0.816662,0.505545,0.99183,-0.414653
0.540154,0.776863,0.126821,0.601522,0.932106,0.344231,0.430354,0.58054,-0.252328,0.505611,1.03696,2.05946
0.375554,0.470891,-0.412175,0.27017,0.325479,-1.08406,0.360111,0.603774,-0.756196,0.521996,1.14953,-0.0119464
0.662891,1.08735,0.561641,0.422844,0.644608,-0.491958,0.533912,0.994597,0.158309,0.508901,0.966251,-0.15964
0.164785,0.180066,-1.75594,0.086679,0.094338,-19.4386,0.34148,0.473599,-2.05504,0.489395,0.868862,-0.371099
0.182797,0.201868,-1.54556,0.304387,0.378477,-0.891196,0.472211,0.913141,-2.05129,0.452805,0.889611,0.965922
0.00857281,0.00860976,-37.1212,0.0224823,0.0228401,-22.9149,0.387036,0.567166,-4.17515,0.461,0.833853,-1.3363
0.425977,0.555085,-0.236836,0.317359,0.394607,-0.768308,0.336957,0.631711,-5.53319,0.48047,1.05332,0.516415
0.0363917,0.0370704,-8.70862,0.0345002,0.0351113,-9.21798,0.397276,0.670498,-12.3469,0.464017,0.917165,-0.190513
0.20874,0.234129,-1.29978,0.26755,0.314594,-0.953362,0.493625,0.828557,0.0426201,0.512791,1.01117,0.429896
0.0326086,0.0331522,-9.72735,0.119283,0.131885,-5.52546,0.46819,0.923609,-0.828781,0.473308,0.9341,-0.256784
0.326359,0.395059,-0.606942,0.419501,0.556908,-0.283602,0.406744,0.539102,-0.335738,0.520601,1.0799,3.81619
0.205957,0.230618,-1.32357,0.337667,0.43216,-0.710035,0.381666,0.646116,-0.685547,0.433351,0.74019,-1.13387
0.512642,0.718757,0.0397384,0.516475,0.726683,0.0518108,0.563236,1.19852,0.823129,0.480868,0.903929,-12.8086
0.469377,0.633703,-0.0965043,0.536326,0.779108,0.119915,0.391853,0.56601,-1.82093,0.550248,1.16481,3.35853
0.520307,0.734609,0.0638833,0.286602,0.394478,-2.94911,0.55369,1.49589,11.3266,0.508528,1.04721,0.52607
0.603275,0.924513,0.336335,0.586,0.882761,0.277829,0.392595,0.572937,-0.952355,0.497731,0.980392,0.554839
0.0528965,0.0543469,-5.9621,0.478328,1.19762,-1.37803,0.372703,0.72919,-5.38593,0.5206,1.05011,-0.77966
0.568725,0.841008,0.219323,0.301582,0.438028,-4.49352,0.450352,0.750527,-11.4546,0.56086,1.1442,0.694734
0.903759,2.3409,3.20603,0.598158,1.3435,1.22157,0.513147,0.856889,0.141477,0.49228,1.01712,1.91522
0.03444,0.035047,-9.20637,0.31432,0.468471,-4.45074,0.50376,0.969445,0.107347,0.463866,0.849063,-1.05085
0.292556,0.346097,-0.762898,0.259605,0.301563,-0.960748,0.391065,0.518177,-0.444655,0.487793,0.984986,-0.444426
